model name,corpus,num topic,score
lda,bow,5,0.47291257396271247
lda,bow,6,0.47303331224771195
lda,bow,7,0.4656594482421989
lda,bow,8,0.44461860057899555
lda,bow,9,0.4228724148104599
lda,bow,10,0.43493469491461967
lda,bow,11,0.44978659295530965
lda,bow,12,0.4288716098489149
lda,bow,13,0.4484194194980827
lda,bow,14,0.4299416739451635
lda,tfidf,5,0.412843528129588
lda,tfidf,6,0.3851830645699983
lda,tfidf,7,0.40447016926126905
lda,tfidf,8,0.37576366579143966
lda,tfidf,9,0.38650882275679976
lda,tfidf,10,0.39529204470910584
lda,tfidf,11,0.38425785617808367
lda,tfidf,12,0.35232088675853196
lda,tfidf,13,0.3902722247687734
lda,tfidf,14,0.3736470776809843
nmf,bow,5,0.5011294513034196
nmf,bow,6,0.496113104219239
nmf,bow,7,0.45950425982813237
nmf,bow,8,0.49980991450574475
nmf,bow,9,0.5251512732642722
nmf,bow,10,0.486183569136477
nmf,bow,11,0.4905682417416599
nmf,bow,12,0.49801988631315824
nmf,bow,13,0.4851480678183447
nmf,bow,14,0.4583534145631135
nmf,tfidf,5,0.3886203654582544
nmf,tfidf,6,0.39136457349695153
nmf,tfidf,7,0.4256365462926586
nmf,tfidf,8,0.4376125159220918
nmf,tfidf,9,0.4086633728377512
nmf,tfidf,10,0.4252839856405043
nmf,tfidf,11,0.41031000581608157
nmf,tfidf,12,0.4002044218039247
nmf,tfidf,13,0.4247763721523422
nmf,tfidf,14,0.41649162235496107
lsa,bow,5,0.48686620417188864
lsa,bow,6,0.4807793947499978
lsa,bow,7,0.47573981529638115
lsa,bow,8,0.4910263562509136
lsa,bow,9,0.4989709647222391
lsa,bow,10,0.4622433750024591
lsa,bow,11,0.46236027879013447
lsa,bow,12,0.472346856187005
lsa,bow,13,0.4514663140161287
lsa,bow,14,0.4463612343590531
lsa,tfidf,5,0.4690519934947647
lsa,tfidf,6,0.5022234320432414
lsa,tfidf,7,0.5882632305477774
lsa,tfidf,8,0.4459028160331883
lsa,tfidf,9,0.4334696729136637
lsa,tfidf,10,0.5375253972405083
lsa,tfidf,11,0.4297108739579732
lsa,tfidf,12,0.4210553541741409
lsa,tfidf,13,0.4392736917972824
lsa,tfidf,14,0.4279455670666721
